tweet_id,clean_text,text,language,timestamp,date,month,likes,retweets,comments,query,label,vader_neg,vader_neu,vader_pos,vader_compound,manual_label,confidence,final_label
1613175993518145537,Kagame s latest attacks on refugee rights is more evidence that is not a good faith partner and UK s asylum plan is based on falsehoods and cynical politics. Latest dispatch for here,Kagame’s latest attacks on refugee rights is more evidence that #Rwanda is not a good faith partner and UK’s asylum plan is based on falsehoods and cynical politics. Latest dispatch for @hrw here: https://t.co/WzGnxL7IFo https://t.co/xlkC1FiJes,en,2023-01-11 14:08:22+00:00,2023-01-11,2023-01,86,51,0,#Rwanda politics,negative,0.261,0.739,0.0,-0.8496,,0.8496,negative
1615720220227960833,The conviction of yet another political opponent in - this time Théophile Ntirutwa - for allegedly seeking to cause a hostile international opinion demonstrates the high price of getting involved in politics. Latest from here,"The conviction of yet another political opponent in #Rwanda - this time Théophile Ntirutwa - for allegedly seeking to ""cause a hostile international opinion"" demonstrates the high price of getting involved in politics. Latest from @hrw here: https://t.co/0SQ0cA4oEB https://t.co/4MD51HYZ6b",en,2023-01-18 14:38:13+00:00,2023-01-18,2023-01,32,17,0,#Rwanda politics,negative,0.071,0.929,0.0,-0.3818,,0.3818,negative
1649180538681344009,"Integrated to this, political interference in s football provides a context in which , , intersect to produce very little development of the game as a vibrant commercial entity. Yet according to FIFA's standing statutes this shouldn t be happening.","Integrated to this, political interference in #Rwanda’s football provides a context in which #space, #culture, #politics & #economics intersect to produce very little development of the game as a vibrant commercial entity. Yet  according to FIFA's standing statutes this shouldn’t be happening.",en,2023-04-20 22:37:35+00:00,2023-04-20,2023-04,7,0,2,#Rwanda politics,positive,0.0,0.92,0.08,0.5267,,0.5267,positive
1639322568246034451,"So, Filip Is the US helping to silence political opponents or did the Americans realize, just like the French, that no amount of pressure will force Rwanda to accommodate your friends - terrorist Hutu Power leaders African Nazis - in the country's politics ?","So, Filip 

Is the US helping #Rwanda to silence political opponents or did the Americans realize, just like the French, that no amount of ""pressure"" will force Rwanda to accommodate your friends - terrorist Hutu Power leaders (African Nazis) - in the country's politics ?

🤡",en,2023-03-24 17:45:32+00:00,2023-03-24,2023-03,17,6,2,#Rwanda politics,negative,0.166,0.692,0.142,-0.3182,,0.3182,negative
1660566565983596546,Tshisekedi's little knowledge in politics continues to play out in the public domain even if he chooses to do this kind of game should be done covertly. The guy is determined to partner with all anti- elements to malign amp his leadership.,Tshisekedi's little knowledge in politics continues to play out in the public domain; even if he chooses to do this kind of game should be done covertly. The #Tshilombo guy is determined to partner with all anti-#Rwanda elements to malign  #Kagame &amp; his leadership.,en,2023-05-22 08:41:35+00:00,2023-05-22,2023-05,14,10,4,#Rwanda politics,positive,0.05,0.846,0.104,0.3612,,0.3612,positive
1640027438490046467,".His entering in US will it be the end of his story or the beginning of his story? amp If changes his mind where will this live the , amp diplomacy. If he changes his mind what will that mean to the future of the Rwandan politics?","….His entering in US will it be the end of his story or the beginning of his story? &amp; If #Rusesabagina changes his mind where will this live the #US, #Rwanda #EU &amp; #Qatar diplomacy. If he changes his mind what will that mean to the future of the Rwandan politics?",en,2023-03-26 16:26:26+00:00,2023-03-26,2023-03,6,3,2,#Rwanda politics,neutral,0.0,1.0,0.0,0.0,neutral,0.0,neutral
1653246618143956992,When politics is right you own what you would love to have! Kudos to for the nice roads amp other infrastructure in town. The city has transformed from Good to Great.,When politics is right you own  what you would love to have!  Kudos to @RubavuDistrict for the nice roads &amp; other infrastructure in town. The city has transformed from Good to Great. #Rwanda https://t.co/yzBR9joiKu,en,2023-05-02 03:54:44+00:00,2023-05-02,2023-05,68,20,6,#Rwanda politics,positive,0.0,0.596,0.404,0.9558,,0.9558,positive
1642552869688692737,"When serious politics are treated like teenagers games, it takes a rational mind to bring back order. How are we going to bring the Continent that far if we are caught up in nonsense? Why should there be a conflict at all between Rwanda amp DRC? Only 4 rational","#Rwanda 🇷🇼 #RPF35 
When serious politics are treated like teenagers games,
it takes a rational mind to bring back order. How are we going to bring the Continent that far if we are caught up in nonsense?
""Why should there be a conflict at all between Rwanda &amp; DRC?
Only 4 rational https://t.co/zx75BhUlFz",en,2023-04-02 15:41:35+00:00,2023-04-02,2023-04,84,35,12,#Rwanda politics,negative,0.123,0.831,0.046,-0.4871,,0.4871,negative
1653741653872586753,"Presenting to the delegation, Mrs Kazaire showed the s Politics and Governance prior to 1994 and the current step made in promoting good governance and service delivery after the 1994 Genocide against Tutsi, which leads to the existing development and citizens welfare.","Presenting to the delegation, Mrs Kazaire showed the #Rwanda’s Politics and Governance prior to 1994 and the current step made in promoting good governance and service delivery after the 1994 Genocide against Tutsi, which leads to the existing development and citizens’ welfare.",en,2023-05-03 12:41:49+00:00,2023-05-03,2023-05,6,4,3,#Rwanda politics,positive,0.0,0.881,0.119,0.6597,,0.6597,positive
1652297493776855040,Ingabire persists in confusing criminality with politics. ... and she definitely gets some support for doing that. via,"#Rwanda 🇷🇼 
Ingabire persists in confusing criminality with politics. ... and she definitely gets some support for doing that.

via @OliverMushimire

https://t.co/PkQsNNIDj0",en,2023-04-29 13:03:15+00:00,2023-04-29,2023-04,10,7,7,#Rwanda politics,positive,0.085,0.673,0.242,0.5423,,0.5423,positive
